50001	IA	Ackworth
50002	IA	Adair
50003	IA	Adel
50005	IA	Albion
50006	IA	Alden
50007	IA	Alleman
50008	IA	Allerton
50009	IA	Altoona
50010	IA	Ames
50011	IA	Ames
50012	IA	Ames
50013	IA	Ames
50014	IA	Ames
50015	IA	Ankeny
50020	IA	Anita
50021	IA	Ankeny
50022	IA	Atlantic
50025	IA	Audubon
50026	IA	Bagley
50027	IA	Barnes City
50028	IA	Baxter
50029	IA	Bayard
50031	IA	Beaver
50032	IA	Berwick
50033	IA	Bevington
50034	IA	Blairsburg
50035	IA	Bondurant
50036	IA	Boone
50037	IA	Boone
50038	IA	Booneville
50039	IA	Bouton
50040	IA	Boxholm
50041	IA	Bradford
50042	IA	Brayton
50043	IA	Buckeye
50044	IA	Bussey
50046	IA	Cambridge
50047	IA	Carlisle
50048	IA	Casey
50049	IA	Chariton
50050	IA	Churdan
50051	IA	Clemons
50052	IA	Clio
50054	IA	Colfax
50055	IA	Collins
50056	IA	Colo
50057	IA	Columbia
50058	IA	Coon Rapids
50059	IA	Cooper
50060	IA	Corydon
50061	IA	Cumming
50062	IA	Dallas
50063	IA	Dallas Center
50064	IA	Dana
50065	IA	Davis City
50066	IA	Dawson
50067	IA	Decatur
50068	IA	Derby
50069	IA	De Soto
50070	IA	Dexter
50071	IA	Dows
50072	IA	Earlham
50073	IA	Elkhart
50074	IA	Ellston
50075	IA	Ellsworth
50076	IA	Exira
50078	IA	Ferguson
50101	IA	Galt
50102	IA	Garden City
50103	IA	Garden Grove
50104	IA	Gibson
50105	IA	Gilbert
50106	IA	Gilman
50107	IA	Grand Junction
50108	IA	Grand River
50109	IA	Granger
50110	IA	Gray
50111	IA	Grimes
50112	IA	Grinnell
50115	IA	Guthrie Center
50116	IA	Hamilton
50117	IA	Hamlin
50118	IA	Hartford
50119	IA	Harvey
50120	IA	Haverhill
50122	IA	Hubbard
50123	IA	Humeston
50124	IA	Huxley
50125	IA	Indianola
50126	IA	Iowa Falls
50127	IA	Ira
50128	IA	Jamaica
50129	IA	Jefferson
50130	IA	Jewell
50131	IA	Johnston
50132	IA	Kamrar
50133	IA	Kellerton
50134	IA	Kelley
50135	IA	Kellogg
50136	IA	Keswick
50137	IA	Killduff
50138	IA	Knoxville
50139	IA	Lacona
50140	IA	Lamoni
50141	IA	Laurel
50142	IA	Le Grand
50143	IA	Leighton
50144	IA	Leon
50145	IA	Liberty Center
50146	IA	Linden
50147	IA	Lineville
50148	IA	Liscomb
50149	IA	Lorimor
50150	IA	Lovilia
50151	IA	Lucas
50152	IA	Luther
50153	IA	Lynnville
50154	IA	Mc Callsburg
50155	IA	Macksburg
50156	IA	Madrid
50157	IA	Malcom
50158	IA	Marshalltown
50160	IA	Martensdale
50161	IA	Maxwell
50162	IA	Melbourne
50163	IA	Melcher
50164	IA	Menlo
50165	IA	Millerton
50166	IA	Milo
50167	IA	Minburn
50168	IA	Mingo
50169	IA	Mitchellville
50170	IA	Monroe
50171	IA	Montezuma
50173	IA	Montour
50174	IA	Murray
50177	IA	Grinnell
50197	IA	Knoxville
50198	IA	Knoxville
50201	IA	Nevada
50206	IA	New Providence
50207	IA	New Sharon
50208	IA	Newton
50210	IA	New Virginia
50211	IA	Norwalk
50212	IA	Ogden
50213	IA	Osceola
50214	IA	Otley
50216	IA	Panora
50217	IA	Paton
50218	IA	Patterson
50219	IA	Pella
50220	IA	Perry
50221	IA	Pershing
50222	IA	Peru
50223	IA	Pilot Mound
50225	IA	Pleasantville
50226	IA	Polk City
50227	IA	Popejoy
50228	IA	Prairie City
50229	IA	Prole
50230	IA	Radcliffe
50231	IA	Randall
50232	IA	Reasnor
50233	IA	Redfield
50234	IA	Rhodes
50235	IA	Rippey
50236	IA	Roland
50237	IA	Runnells
50238	IA	Russell
50239	IA	Saint Anthony
50240	IA	Saint Charles
50241	IA	Saint Marys
50242	IA	Searsboro
50243	IA	Sheldahl
50244	IA	Slater
50246	IA	Stanhope
50247	IA	State Center
50248	IA	Story City
50249	IA	Stratford
50250	IA	Stuart
50251	IA	Sully
50252	IA	Swan
50254	IA	Thayer
50255	IA	Thornburg
50256	IA	Tracy
50257	IA	Truro
50258	IA	Union
50259	IA	Gifford
50261	IA	Van Meter
50262	IA	Van Wert
50263	IA	Waukee
50264	IA	Weldon
50265	IA	West Des Moines
50266	IA	West Des Moines
50268	IA	What Cheer
50269	IA	Whitten
50271	IA	Williams
50272	IA	Williamson
50273	IA	Winterset
50274	IA	Wiota
50275	IA	Woodburn
50276	IA	Woodward
50277	IA	Yale
50278	IA	Zearing
50301	IA	Des Moines
50302	IA	Des Moines
50303	IA	Des Moines
50304	IA	Des Moines
50305	IA	Des Moines
50306	IA	Des Moines
50307	IA	Des Moines
50308	IA	Des Moines
50309	IA	Des Moines
50310	IA	Des Moines
50311	IA	Des Moines
50312	IA	Des Moines
50313	IA	Des Moines
50314	IA	Des Moines
50315	IA	Des Moines
50316	IA	Des Moines
50317	IA	Des Moines
50318	IA	Des Moines
50319	IA	Des Moines
50320	IA	Des Moines
50321	IA	Des Moines
50322	IA	Urbandale
50323	IA	Urbandale
50325	IA	Clive
50328	IA	Des Moines
50329	IA	Des Moines
50330	IA	Des Moines
50331	IA	Des Moines
50332	IA	Des Moines
50333	IA	Des Moines
50334	IA	Des Moines
50335	IA	Des Moines
50336	IA	Des Moines
50338	IA	Des Moines
50339	IA	Des Moines
50340	IA	Des Moines
50347	IA	Des Moines
50350	IA	Des Moines
50359	IA	Des Moines
50360	IA	Des Moines
50361	IA	Des Moines
50362	IA	Des Moines
50363	IA	Des Moines
50364	IA	Des Moines
50367	IA	Des Moines
50368	IA	Des Moines
50369	IA	Des Moines
50380	IA	Des Moines
50381	IA	Des Moines
50391	IA	Des Moines
50392	IA	Des Moines
50393	IA	Des Moines
50394	IA	Des Moines
50395	IA	Des Moines
50396	IA	Des Moines
50397	IA	Des Moines
50398	IA	West Des Moines
50401	IA	Mason City
50402	IA	Mason City
50420	IA	Alexander
50421	IA	Belmond
50423	IA	Britt
50424	IA	Buffalo Center
50426	IA	Carpenter
50427	IA	Chapin
50428	IA	Clear Lake
50430	IA	Corwith
50431	IA	Coulter
50432	IA	Crystal Lake
50433	IA	Dougherty
50434	IA	Fertile
50435	IA	Floyd
50436	IA	Forest City
50438	IA	Garner
50439	IA	Goodell
50440	IA	Grafton
50441	IA	Hampton
50444	IA	Hanlontown
50446	IA	Joice
50447	IA	Kanawha
50448	IA	Kensett
50449	IA	Klemme
50450	IA	Lake Mills
50451	IA	Lakota
50452	IA	Latimer
50453	IA	Leland
50454	IA	Little Cedar
50455	IA	Mc Intire
50456	IA	Manly
50457	IA	Meservey
50458	IA	Nora Springs
50459	IA	Northwood
50460	IA	Orchard
50461	IA	Osage
50464	IA	Plymouth
50465	IA	Rake
50466	IA	Riceville
50467	IA	Rock Falls
50468	IA	Rockford
50469	IA	Rockwell
50470	IA	Rowan
50471	IA	Rudd
50472	IA	Saint Ansgar
50473	IA	Scarville
50475	IA	Sheffield
50476	IA	Stacyville
50477	IA	Swaledale
50478	IA	Thompson
50479	IA	Thornton
50480	IA	Titonka
50481	IA	Toeterville
50482	IA	Ventura
50483	IA	Wesley
50484	IA	Woden
50501	IA	Fort Dodge
50510	IA	Albert City
50511	IA	Algona
50514	IA	Armstrong
50515	IA	Ayrshire
50516	IA	Badger
50517	IA	Bancroft
50518	IA	Barnum
50519	IA	Bode
50520	IA	Bradgate
50521	IA	Burnside
50522	IA	Burt
50523	IA	Callender
50524	IA	Clare
50525	IA	Clarion
50526	IA	Clarion
50527	IA	Curlew
50528	IA	Cylinder
50529	IA	Dakota City
50530	IA	Dayton
50531	IA	Dolliver
50532	IA	Duncombe
50533	IA	Eagle Grove
50535	IA	Early
50536	IA	Emmetsburg
50538	IA	Farnhamville
50539	IA	Fenton
50540	IA	Fonda
50541	IA	Gilmore City
50542	IA	Goldfield
50543	IA	Gowrie
50544	IA	Harcourt
50545	IA	Hardy
50546	IA	Havelock
50548	IA	Humboldt
50551	IA	Jolley
50552	IA	Knierim
50554	IA	Laurens
50556	IA	Ledyard
50557	IA	Lehigh
50558	IA	Livermore
50559	IA	Lone Rock
50560	IA	Lu Verne
50561	IA	Lytton
50562	IA	Mallard
50563	IA	Manson
50565	IA	Marathon
50566	IA	Moorland
50567	IA	Nemaha
50568	IA	Newell
50569	IA	Otho
50570	IA	Ottosen
50571	IA	Palmer
50573	IA	Plover
50574	IA	Pocahontas
50575	IA	Pomeroy
50576	IA	Rembrandt
50577	IA	Renwick
50578	IA	Ringsted
50579	IA	Rockwell City
50581	IA	Rolfe
50582	IA	Rutland
50583	IA	Sac City
50585	IA	Sioux Rapids
50586	IA	Somers
50587	IA	Rinard
50588	IA	Storm Lake
50590	IA	Swea City
50591	IA	Thor
50592	IA	Truesdale
50593	IA	Varina
50594	IA	Vincent
50595	IA	Webster City
50597	IA	West Bend
50598	IA	Whittemore
50599	IA	Woolstock
50601	IA	Ackley
50602	IA	Allison
50603	IA	Alta Vista
50604	IA	Aplington
50605	IA	Aredale
50606	IA	Arlington
50607	IA	Aurora
50608	IA	Austinville
50609	IA	Beaman
50611	IA	Bristow
50612	IA	Buckingham
50613	IA	Cedar Falls
50614	IA	Cedar Falls
50616	IA	Charles City
50619	IA	Clarksville
50620	IA	Colwell
50621	IA	Conrad
50622	IA	Denver
50623	IA	Dewar
50624	IA	Dike
50625	IA	Dumont
50626	IA	Dunkerton
50627	IA	Eldora
50628	IA	Elma
50629	IA	Fairbank
50630	IA	Fredericksburg
50631	IA	Frederika
50632	IA	Garwin
50633	IA	Geneva
50634	IA	Gilbertville
50635	IA	Gladbrook
50636	IA	Greene
50637	IA	Green Mountain
50638	IA	Grundy Center
50641	IA	Hazleton
50642	IA	Holland
50643	IA	Hudson
50644	IA	Independence
50645	IA	Ionia
50647	IA	Janesville
50648	IA	Jesup
50649	IA	Kesley
50650	IA	Lamont
50651	IA	La Porte City
50652	IA	Lincoln
50653	IA	Marble Rock
50654	IA	Masonville
50655	IA	Maynard
50657	IA	Morrison
50658	IA	Nashua
50659	IA	New Hampton
50660	IA	New Hartford
50661	IA	North Washington
50662	IA	Oelwein
50664	IA	Oran
50665	IA	Parkersburg
50666	IA	Plainfield
50667	IA	Raymond
50668	IA	Readlyn
50669	IA	Reinbeck
50670	IA	Shell Rock
50671	IA	Stanley
50672	IA	Steamboat Rock
50673	IA	Stout
50674	IA	Sumner
50675	IA	Traer
50676	IA	Tripoli
50677	IA	Waverly
50680	IA	Wellsburg
50681	IA	Westgate
50682	IA	Winthrop
50701	IA	Waterloo
50702	IA	Waterloo
50703	IA	Waterloo
50704	IA	Waterloo
50706	IA	Waterloo
50707	IA	Evansdale
50799	IA	Waterloo
50801	IA	Creston
50830	IA	Afton
50831	IA	Arispe
50833	IA	Bedford
50835	IA	Benton
50836	IA	Blockton
50837	IA	Bridgewater
50839	IA	Carbon
50840	IA	Clearfield
50841	IA	Corning
50842	IA	Cromwell
50843	IA	Cumberland
50844	IA	Delphos
50845	IA	Diagonal
50846	IA	Fontanelle
50847	IA	Grant
50848	IA	Gravity
50849	IA	Greenfield
50850	IA	Kent
50851	IA	Lenox
50852	IA	Maloy
50853	IA	Massena
50854	IA	Mount Ayr
50857	IA	Nodaway
50858	IA	Orient
50859	IA	Prescott
50860	IA	Redding
50861	IA	Shannon City
50862	IA	Sharpsburg
50863	IA	Tingley
50864	IA	Villisca
50936	IA	Des Moines
50940	IA	Des Moines
50947	IA	Des Moines
50950	IA	Des Moines
50980	IA	Des Moines
50981	IA	Des Moines
51001	IA	Akron
51002	IA	Alta
51003	IA	Alton
51004	IA	Anthon
51005	IA	Aurelia
51006	IA	Battle Creek
51007	IA	Bronson
51008	IA	Brunsville
51009	IA	Calumet
51010	IA	Castana
51011	IA	Chatsworth
51012	IA	Cherokee
51014	IA	Cleghorn
51015	IA	Climbing Hill
51016	IA	Correctionville
51017	IA	Craig
51018	IA	Cushing
51019	IA	Danbury
51020	IA	Galva
51022	IA	Granville
51023	IA	Hawarden
51024	IA	Hinton
51025	IA	Holstein
51026	IA	Hornick
51027	IA	Ireton
51028	IA	Kingsley
51029	IA	Larrabee
51030	IA	Lawton
51031	IA	Le Mars
51033	IA	Linn Grove
51034	IA	Mapleton
51035	IA	Marcus
51036	IA	Maurice
51037	IA	Meriden
51038	IA	Merrill
51039	IA	Moville
51040	IA	Onawa
51041	IA	Orange City
51044	IA	Oto
51045	IA	Oyens
51046	IA	Paullina
51047	IA	Peterson
51048	IA	Pierson
51049	IA	Quimby
51050	IA	Remsen
51051	IA	Rodney
51052	IA	Salix
51053	IA	Schaller
51054	IA	Sergeant Bluff
51055	IA	Sloan
51056	IA	Smithland
51057	IA	Struble
51058	IA	Sutherland
51059	IA	Turin
51060	IA	Ute
51061	IA	Washta
51062	IA	Westfield
51063	IA	Whiting
51101	IA	Sioux City
51102	IA	Sioux City
51103	IA	Sioux City
51104	IA	Sioux City
51105	IA	Sioux City
51106	IA	Sioux City
51107	IA	Sioux City
51108	IA	Sioux City
51109	IA	Sioux City
51110	IA	Sioux City
51111	IA	Sioux City
51201	IA	Sheldon
51230	IA	Alvord
51231	IA	Archer
51232	IA	Ashton
51234	IA	Boyden
51235	IA	Doon
51237	IA	George
51238	IA	Hospers
51239	IA	Hull
51240	IA	Inwood
51241	IA	Larchwood
51242	IA	Lester
51243	IA	Little Rock
51244	IA	Matlock
51245	IA	Primghar
51246	IA	Rock Rapids
51247	IA	Rock Valley
51248	IA	Sanborn
51249	IA	Sibley
51250	IA	Sioux Center
51301	IA	Spencer
51330	IA	Allendorf
51331	IA	Arnolds Park
51333	IA	Dickens
51334	IA	Estherville
51338	IA	Everly
51340	IA	Fostoria
51341	IA	Gillett Grove
51342	IA	Graettinger
51343	IA	Greenville
51344	IA	Gruver
51345	IA	Harris
51346	IA	Hartley
51347	IA	Lake Park
51349	IA	May City
51350	IA	Melvin
51351	IA	Milford
51354	IA	Ocheyedan
51355	IA	Okoboji
